,source,target,weight
99,1136370591517290496,1362532706282844162,1
100,1136370591517290496,250754928,1
101,1136370591517290496,1355928651620102146,1
102,1136370591517290496,26113509,1
103,1136370591517290496,1353888876511821825,5
104,1136370591517290496,2377034803,1
105,1136370591517290496,1234086093303296002,3
106,1136370591517290496,3067778024,1
107,1136370591517290496,761876660,7
108,1136370591517290496,1355152863610228736,2
109,1136370591517290496,1083621920002564096,1
110,1136370591517290496,2781365071,2
111,1136370591517290496,1273804706339586049,1
112,1136370591517290496,2230330752,1
113,1136370591517290496,1174864873827684352,1
114,1136370591517290496,1355278989993136131,1
115,1136370591517290496,1359678030961074176,1
116,1136370591517290496,2726154818,1
117,1136370591517290496,2796128924,1
118,1136370591517290496,1363933842940129280,1
119,1136370591517290496,1352967197048655872,1
120,1136370591517290496,1297621441094004745,1
121,1136370591517290496,971419650465525760,1
122,1136370591517290496,1058344962285289472,1
123,1136370591517290496,161855898,1
124,1136370591517290496,1367495412119183374,1
125,1136370591517290496,1354851095110053889,1
126,1136370591517290496,852555811318640643,1
127,1136370591517290496,1357054534485499907,2
128,1136370591517290496,1354428111836901381,1
129,1136370591517290496,1354058349877329921,1
130,1136370591517290496,1149258242960310272,3
131,1136370591517290496,1876101992,1
132,1136370591517290496,22708585,1
133,1136370591517290496,28505255,1
134,1136370591517290496,1243627974877949953,1
135,1136370591517290496,1129344619,1
136,1136370591517290496,1326533819000893441,1
137,1136370591517290496,176702662,1
138,1136370591517290496,237544160,2
139,1136370591517290496,1364846302815612932,1
140,1136370591517290496,1047320182597644289,1
141,1136370591517290496,243909161,1
142,1136370591517290496,81476179,1
143,1136370591517290496,1265655689935896577,2
144,1136370591517290496,1242610470474964995,1
145,1136370591517290496,59393368,3
146,1136370591517290496,4376295742,1
147,1136370591517290496,818289377377996801,1
148,1136370591517290496,77088964,1
149,1136370591517290496,1240313166174793729,1
150,1136370591517290496,408009251,5
151,1136370591517290496,1354908291760058371,1
152,1136370591517290496,2541905646,3
153,1136370591517290496,831723043,1
154,1136370591517290496,18139244,1
155,1136370591517290496,2896799502,1
156,1136370591517290496,1382458534009442307,1
157,1136370591517290496,1354823976359354375,2
158,1136370591517290496,1378856400785453056,1
159,1136370591517290496,1357636371909914625,4
160,1136370591517290496,1182067937219350529,1
161,1136370591517290496,2497874808,1
162,1136370591517290496,1217603729588981760,2
163,1136370591517290496,1391793679728357377,1
164,1136370591517290496,1373314778417012742,1
165,1136370591517290496,1339210677379096579,1
166,1136370591517290496,1374968033265864706,2
167,1136370591517290496,1357284573244186626,1
168,1136370591517290496,931126990589038592,1
169,1136370591517290496,828074638462877697,1
170,1136370591517290496,1371136731811098627,4
171,1136370591517290496,1378443935366848517,2
172,1136370591517290496,26281090,1
173,1136370591517290496,138182116,1
174,1136370591517290496,4892519187,1
175,1136370591517290496,1188344257737908224,7
176,1136370591517290496,516151794,1
177,1136370591517290496,1369386831326904322,1
178,1136370591517290496,1214822096129286144,3
179,1136370591517290496,92819289,2
180,1136370591517290496,1402765254275211264,3
181,1136370591517290496,733611692,1
182,1136370591517290496,1163520385150836736,1
183,1136370591517290496,2612788123,1
184,1136370591517290496,47519668,1
185,1136370591517290496,1330970398742241288,1
186,1136370591517290496,1378881411554308101,14
187,1136370591517290496,3073965168,1
188,1136370591517290496,2332796245,1
189,1136370591517290496,1362737166560997378,2
190,1136370591517290496,721374975135916032,1
191,1136370591517290496,1356362095743397889,1
192,1136370591517290496,1004236618469740544,2
193,1136370591517290496,1332666495571275776,1
194,1136370591517290496,1101881431557468161,2
195,1136370591517290496,67110209,1
196,1136370591517290496,488609194,1
197,1136370591517290496,330604953,1
198,1136370591517290496,4633933514,1
199,1136370591517290496,1359578769271447556,1
200,1136370591517290496,1433475956409344008,1
201,1136370591517290496,1426635752671092739,1
202,1136370591517290496,20707966,2
203,1136370591517290496,19046877,1
204,1136370591517290496,1371391575994068994,1
205,1136370591517290496,1188757031622234112,1
206,1136370591517290496,1100774064799522817,1
207,1136370591517290496,1403201252910059522,2
208,1136370591517290496,1399696921556566016,1
209,1136370591517290496,1409317488832258048,9
210,1136370591517290496,1392881248259948559,1
211,1136370591517290496,1238906192560300032,4
212,1136370591517290496,473618236,1
213,1136370591517290496,18167075,1
214,1136370591517290496,25214306,1
215,1136370591517290496,1377438365327429633,2
216,1136370591517290496,175712775,9
217,1136370591517290496,1269339127373332480,2
218,1136370591517290496,1358587726950465537,2
219,1136370591517290496,1345361532591476748,1
220,1136370591517290496,60180900,3
221,1136370591517290496,395452738,1
222,1136370591517290496,220726372,1
223,1136370591517290496,1386955252558073856,1
224,1136370591517290496,1252749286783062017,1
225,1136370591517290496,17068692,1
226,1136370591517290496,3827940994,1
227,1136370591517290496,1306359926164516864,1
228,1136370591517290496,1378901320724312066,1
229,1136370591517290496,1354543700890759176,1
230,1136370591517290496,15219270,13
231,1136370591517290496,1354586621182619648,1
232,1136370591517290496,1421650081070133250,1
233,1136370591517290496,1452321216358981640,1
234,1136370591517290496,1398516652598337536,1
235,1136370591517290496,1456618325514067976,1
236,1136370591517290496,1437058748074369029,1
